GitHub Multilanguage Quantum Projects Search Summary
====================================================
Summary generated on: 2026-04-13 21:54:43
Languages targeted: julia, c++, rust, java, javascript, typescript, q#, go, haskell, scala, matlab, fortran

--- Overall Statistics ---
Total unique projects found (candidates): 790
Projects filtered out:                    752
mickahell/qat-computer                                                               Not enough stars (1 < 30)
microsoft/qdk                                                                        Excluded by Topic 'tutorials'
microsoft/quantum-curriculum-samples                                                 Inactive since 2024-08-23
microsoft/quantum-viz.js                                                             Inactive since 2024-01-13
microsoft/QuantumLibraries                                                           Archived repository
mihaelastoycheva/QuantumAlgorithm-EarlyCancerPrediction                              Not enough stars (2 < 30)
MikamiV/TAMUhack2023                                                                 Not enough stars (2 < 30)
mikeroyal/Quantum-Computing-Guide                                                    Inactive since 2024-02-28
milairhu/quantut                                                                     Not enough stars (3 < 30)
minaminao/algorithms                                                                 Not enough stars (9 < 30)
minspan199/interface-state-project-matlab-codes                                      Not enough stars (4 < 30)
MiyuruAmarasiri/Qsafe                                                                Not enough stars (2 < 30)
mknyszek/rust-libquantum                                                             Not enough stars (12 < 30)
MMADUs/quira                                                                         Not enough stars (6 < 30)
modulelife/Qcdtr1                                                                    Not enough stars (5 < 30)
mohammadabidhafiz1294/physics-note                                                   Not enough stars (1 < 30)
MoHoushmand/zipminator-pqc                                                           Not enough stars (0 < 30)
Morin3/scaling-spork                                                                 Not enough stars (0 < 30)
Morin3/solid-quickstart-Andoka-now-22                                                Not enough stars (1 < 30)
mormatti/Scattensor.jl                                                               Not enough stars (0 < 30)
MrAlhm/intent-decoder                                                                Not enough stars (0 < 30)
MrDecryptDecipher/Diia                                                               Not enough stars (1 < 30)
MrDecryptDecipher/Sentinel                                                           Not enough stars (0 < 30)
mrdimosthenis/feyn                                                                   Not enough stars (1 < 30)
msk-ono/qrot                                                                         Not enough stars (1 < 30)
msk-ono/study-superconducting-quantum-computer                                       Not enough stars (0 < 30)
msoeken/cirkit                                                                       Inactive since 2020-02-23
MUESdummy/Meta-Universal-Equality-Scale                                              Archived repository
MuhammadAliyan10/AkTeraAkMera                                                        Not enough stars (0 < 30)
Muhib-Mehdi/quantum-coin-flip                                                        Not enough stars (2 < 30)
munich-quantum-toolkit/ddvis                                                         Not enough stars (27 < 30)
munich-quantum-toolkit/debugger                                                      Not enough stars (20 < 30)
munich-quantum-toolkit/qusat                                                         Not enough stars (27 < 30)
munich-quantum-toolkit/syrec                                                         Not enough contributors (9 < 10)
murilomgrosso/cshs-quantum-sim                                                       Not enough stars (1 < 30)
N-Hypatia/Time-as-Superfluid                                                         Not enough stars (2 < 30)
NathanLaCrosse/QuantumComputerEmulator                                               Not enough stars (0 < 30)
Nayan991111/alphastream-intelligence                                                 Not enough stars (1 < 30)
naylinnaungHoodedu/qcai-studio                                                       Not enough stars (1 < 30)
necst/ddroute                                                                        Not enough stars (0 < 30)
Negabinary/qubits                                                                    Not enough stars (7 < 30)
NeoTecDigital/StableChaos                                                            Not enough stars (0 < 30)
Nerator/matr2scheme                                                                  Not enough stars (2 < 30)
neuroequality/neuroadapt-sdk                                                         Not enough stars (1 < 30)
NeuroKoder3/E-SCPE                                                                   Not enough stars (0 < 30)
NicholasBelschner/AdvanceWeatherApp                                                  Not enough stars (0 < 30)
NicklasBoto/funQ                                                                     Not enough stars (19 < 30)
NicklasBoto/signe                                                                    Not enough stars (5 < 30)
nicolasloizeau/QuantumCircuitDraw.jl                                                 Not enough stars (7 < 30)
NihaalNO/QuantaLab                                                                   Not enough stars (0 < 30)
NikVolf/braket                                                                       Not enough stars (5 < 30)
NITeQ/QARBoM.jl                                                                      Not enough stars (11 < 30)
nkuetemeli/nkuetemeli.github.io                                                      Not enough stars (0 < 30)
nobeltk-eng/PgVideoChat                                                              Not enough stars (0 < 30)
node-red-quantum/node-red-contrib-quantum                                            Not enough stars (18 < 30)
nofixing-dev/QLEMU                                                                   Not enough stars (0 < 30)
nrankin18/quantum                                                                    Not enough stars (0 < 30)
nrenga/symplectic-arxiv18a                                                           Not enough stars (16 < 30)
NumericPrime/QuvaFramework                                                           Not enough stars (0 < 30)
nurikbystik/deadbolt                                                                 Not enough stars (0 < 30)
nzy1997/TensorQEC.jl                                                                 Not enough contributors (4 < 10)
OctocatRush/Complex-number-calculator-and-Implementation-of-Deutschs-Algorithm       Archived repository
ohnodev/obelisk-core                                                                 Not enough stars (4 < 30)
OlaProeis/KetGrid                                                                    Not enough stars (0 < 30)
olivia-banks/cardinal                                                                Not enough stars (1 < 30)
omarmmh/Research-Hub                                                                 Not enough stars (1 < 30)
open-quantum-safe/liboqs-cpp                                                         Not enough contributors (4 < 10)
openqasm/qe-compiler                                                                 Inactive since 2024-11-06
openql-org/quantjs                                                                   Not enough stars (1 < 30)
oqc-community/rasqal                                                                 Not enough stars (23 < 30)
orangekame3/qasmfmt-go                                                               Not enough stars (1 < 30)
orangekame3/qasmtools                                                                Not enough stars (7 < 30)
OriginQ/QPanda-2                                                                     Inactive since 2024-11-13
OriginQ/qurator-vscode                                                               Not enough stars (21 < 30)
ORNL-QCI/qiree                                                                       Not enough stars (11 < 30)
ORNL/TASQC                                                                           Not enough stars (2 < 30)
panacloud/bootcamp-2021                                                              Inactive since 2022-08-19
ParleSec/QuantumFieldKit                                                             Not enough stars (3 < 30)
patztablook22/jaq                                                                    Not enough stars (3 < 30)
PedroFnseca/quantum-algorithms                                                       Not enough stars (1 < 30)
pedrorrivero/iit-qc-workshop                                                         Not enough stars (1 < 30)
PESchoenberg/qre                                                                     Not enough stars (2 < 30)
petr-pernicka/KExQS                                                                  Not enough stars (0 < 30)
pferreirafabricio/qsharp-hello                                                       Not enough stars (1 < 30)
phaerrax/GaussianBosonSamplingMPS.jl                                                 Not enough stars (0 < 30)
phaerrax/QuantumCircuitSimulator.jl                                                  Not enough stars (0 < 30)
Philipst77/Quantum_Computing                                                         Not enough stars (1 < 30)
philzook58/fib-anyon                                                                 Not enough stars (22 < 30)
PietroZanotta/quriust                                                                Not enough stars (4 < 30)
Poin1961/quantum-ml-library                                                          Not enough stars (0 < 30)
pointlander/contact                                                                  Not enough stars (0 < 30)
pointlander/everett                                                                  Not enough stars (0 < 30)
pointlander/qgo                                                                      Not enough stars (1 < 30)
pointlander/qxor                                                                     Not enough stars (0 < 30)
PQCWorld/pqaudit                                                                     Not enough stars (2 < 30)
previsionio/damavand                                                                 Not enough stars (9 < 30)
PrivAtlas/demo-zksnarks-quantum                                                      Not enough stars (2 < 30)
PRODHOSH/bb84_simulation                                                             Not enough stars (2 < 30)
psavelis/enterprise-blockchain                                                       Not enough stars (27 < 30)
psrenergy/Anneal.jl                                                                  Archived repository
pujyam/QNC                                                                           Not enough stars (8 < 30)
Q1tBV/q1tsim                                                                         Inactive since 2021-05-24
qauth-labs/qauth                                                                     Not enough stars (15 < 30)
qcc4cp/qcc                                                                           Excluded by Keyword 'book' in name/description
QCHackers/jgrove                                                                     Not enough stars (3 < 30)
qcsa-at-ucla/qcsa                                                                    Not enough stars (4 < 30)
qcsa-at-ucla/qdc                                                                     Not enough stars (1 < 30)
QDaria/zipminator                                                                    Not enough stars (1 < 30)
QE-Lab/dqcsim                                                                        Archived repository
qecsim/Qecsim.jl                                                                     Not enough stars (26 < 30)
qi-rub/traq                                                                          Not enough stars (1 < 30)
qiboteam/qibotf                                                                      Archived repository
qir-alliance/qcor                                                                    Inactive since 2022-12-02
Qiskit/qiskit-addon-sqd-hpc                                                          Not enough stars (16 < 30)
Qiskit/qiskit-cpp                                                                    Not enough contributors (7 < 10)
Qiskit/Qiskit.jl                                                                     Not enough stars (17 < 30)
Qiskit/qiskit.org                                                                    Archived repository
qognitive/fast-pauli                                                                 Not enough stars (15 < 30)
QoroQuantum/maestro                                                                  Not enough stars (12 < 30)
qpher/pqc-check                                                                      Not enough stars (1 < 30)
qsharp-community/algorithm-zoo                                                       Not enough stars (20 < 30)
qsharp-community/qram                                                                Inactive since 2022-03-30
qsharp-community/qsharp-tmLanguage                                                   Not enough stars (1 < 30)
QSOLKCB/QNTOY                                                                        Not enough stars (0 < 30)
Qu-Chain/quantum-compupaytion-dapp                                                   Not enough stars (0 < 30)
Quancilla/quancilla.github.io                                                        Not enough stars (1 < 30)
Quant-Team/qvm                                                                       Not enough stars (7 < 30)
quantag/qasm-adapter-vscode                                                          Not enough stars (2 < 30)
quantag/qbin                                                                         Not enough stars (0 < 30)
quantag/qdb-qscore                                                                   Not enough stars (1 < 30)
quantastica/quantum-circuit                                                          Not enough contributors (7 < 10)
QuantBlockchain/qc-bc-interactive                                                    Not enough stars (2 < 30)
Quantica-Foundation/quantica-lang                                                    Not enough stars (16 < 30)
quantosnetwork/Quantos_old                                                           Not enough stars (1 < 30)
Quantum-Flytrap/quantum-tensors                                                      Inactive since 2023-01-07
quantum-lichen/Lichen-Universe-Unified                                               Not enough stars (0 < 30)
quantum-lichen/Th-orie-UICT                                                          Not enough stars (1 < 30)
quantum4j/quantum4j                                                                  Not enough stars (16 < 30)
QuantumBFS/OpenQASM.jl                                                               Not enough stars (19 < 30)
QuantumBFS/QuAlgorithmZoo.jl                                                         Inactive since 2023-08-21
QuantumBFS/Quon.jl                                                                   Not enough stars (11 < 30)
QuantumBFS/YaoArrayRegister.jl                                                       Archived repository
QuantumBFS/YaoBase.jl                                                                Archived repository
QuantumBFS/YaoBlocks.jl                                                              Archived repository
QuantumBFS/YaoBlocksQASM.jl                                                          Not enough stars (2 < 30)
QuantumBFS/YaoBlocksQobj.jl                                                          Not enough stars (1 < 30)
QuantumBFS/YaoCompiler.jl                                                            Not enough stars (21 < 30)
QuantumBFS/YaoLocations.jl                                                           Not enough stars (1 < 30)
QuantumBFS/YaoQASM.jl                                                                Not enough stars (11 < 30)
QuantumBFS/YaoTensorNetwork.jl                                                       Archived repository
quantumcomputingac/quantumcomputingac                                                Not enough stars (0 < 30)
QuantumSavory/Gabs.jl                                                                Not enough stars (11 < 30)
QuantumSavory/LDPCDecoders.jl                                                        Not enough stars (7 < 30)
QuantumSavory/PBCCompiler.jl                                                         Not enough stars (2 < 30)
QuantumSavory/PyQDecoders.jl                                                         Not enough stars (9 < 30)
QuantumSavory/qECCBenchWiki                                                          Not enough stars (7 < 30)
QuantumSavory/QEPOptimize.jl                                                         Not enough stars (4 < 30)
QuantumSavory/QuantumExpanders.jl                                                    Not enough stars (3 < 30)
quantumscience/books                                                                 Not enough stars (4 < 30)
quantumulator/simulator-quantum                                                      Not enough stars (4 < 30)
quantumz-io/oneSolver                                                                Archived repository
qubernetes-dev/q8s-studio                                                            Not enough stars (3 < 30)
qubit-os/qubit-os-hardware                                                           Archived repository
qubitpage/QLang                                                                      Not enough stars (0 < 30)
quip0/QENS                                                                           Not enough stars (1 < 30)
quisl-framework/QuISL-framework-java                                                 Not enough stars (2 < 30)
QuState/spinoza                                                                      Inactive since 2024-07-09
R0ckySu/MewtwoMegaEvo                                                                Not enough stars (2 < 30)
RA-CONSULTING/AUREON-QUANTUM-TRADING-SYSTEM-AQTS-                                    Not enough stars (1 < 30)
radiilab/teleport-SIM                                                                Not enough stars (1 < 30)
radumarg/lambdaQ                                                                     Not enough stars (9 < 30)
raffaeleterribile/bell-entanglement                                                  Not enough stars (0 < 30)
raffaeleterribile/quantum-hello                                                      Not enough stars (0 < 30)
raffaeleterribile/quantum-rng                                                        Not enough stars (0 < 30)
raffaeleterribile/qubit-programming                                                  Not enough stars (0 < 30)
rajtilak-2020/Quantum-coin-flip                                                      Not enough stars (2 < 30)
ranjankumarmandal/Ranjan-Quantum-Simulation                                          Not enough stars (0 < 30)
rasidi3112/quantum-lab-circuit                                                       Not enough stars (6 < 30)
rasinmuhammed/quantum-generative-art                                                 Not enough stars (0 < 30)
ravifrancesco/PGQL-Query-Planner                                                     Not enough stars (0 < 30)
redfx-quantum/strangefx                                                              Inactive since 2024-12-22
Renmusxd/RustQIP                                                                     Not enough contributors (8 < 10)
rigetti/qcs-cli                                                                      Not enough stars (8 < 30)
rigetti/qcs-sdk-qir                                                                  Not enough stars (12 < 30)
rigetti/quil-rs                                                                      Not enough stars (21 < 30)
rnowotniak/qopt                                                                      Not enough stars (29 < 30)
robertjankowski/kms-lab-quantum                                                      Not enough stars (0 < 30)
RobinBerger/Grover-Sphincs                                                           Archived repository
RoboNeo9/Java-Quantum-Computer-Simulator                                             Not enough stars (3 < 30)
rodneydup/QHOSYN                                                                     Not enough stars (25 < 30)
roivroberto/Qu-Alz                                                                   Not enough stars (0 < 30)
rootEnginear/Qemmet                                                                  Not enough stars (0 < 30)
rootEnginear/Quantographer                                                           Archived repository
rootware-ionq/surface_code_coherent_errors_DEM                                       Not enough stars (0 < 30)
roryschadler/roryschadler                                                            Not enough stars (0 < 30)
roshenac/QuantumComputerSimulation                                                   Not enough stars (1 < 30)
RustyBamboo/Pulses.jl                                                                Not enough stars (17 < 30)
rvanasa/funqy                                                                        Inactive since 2020-11-09
rxnew/qc                                                                             Not enough stars (0 < 30)
saisankarbommala/QOIS                                                                Not enough stars (1 < 30)
SakshiBiyani02/Quantum-dot-coating-for-adaptive-surface-control                      Not enough stars (1 < 30)
salekinsirajus/quantum-gate-simulation                                               Not enough stars (2 < 30)
Sam-Hildebrand/qc_simulator                                                          Not enough stars (0 < 30)
SanaUllah04/Q-Academy                                                                Not enough stars (0 < 30)
satoru0510/Jisaq                                                                     Not enough stars (0 < 30)
SatyaBade12/Sisyphus.jl                                                              Not enough stars (12 < 30)
saulpila/DickeModel.jl                                                               Not enough stars (8 < 30)
SayantanDutta95/De-QuIP-Denoising                                                    Not enough stars (5 < 30)
SayantanDutta95/De-QuIP-Despeckling                                                  Not enough stars (3 < 30)
SayantanDutta95/QAB-denoising                                                        Not enough stars (12 < 30)
SayantanDutta95/QAB-PnP-ADMM-Deconvolution                                           Not enough stars (12 < 30)
SayantanDutta95/RED-ADMM-De-QuIP                                                     Not enough stars (3 < 30)
scorpiondefense/quantum_compiler_optim                                               Not enough stars (6 < 30)
sdiemert/QTMSim                                                                      Not enough stars (6 < 30)
Sebastiaan-Alvarez-Rodriguez/Quantum-Crypto-Attack                                   Not enough stars (1 < 30)
SebastianDominguezC/qippy                                                            Not enough stars (2 < 30)
SECQUOIA/TenSolver.jl                                                                Not enough stars (4 < 30)
sflammia/PauliPopRec.jl                                                              Not enough stars (7 < 30)
shinmorino/sqaod                                                                     Inactive since 2023-06-29
shreyansh0242/quantum-classifier                                                     Not enough stars (0 < 30)
Sianlk/geniqx                                                                        Not enough stars (1 < 30)
simonbernier/longRangeIsing                                                          Not enough stars (2 < 30)
simonjriddix/NeuralLeadCoin                                                          Not enough stars (0 < 30)
simplygreatwork/obvious                                                              Not enough stars (14 < 30)
Sir-Ripley/QAG                                                                       Not enough stars (1 < 30)
Sizumi-out/Qcomputerstudy                                                            Not enough stars (0 < 30)
SKupisz/chsh-game                                                                    Not enough stars (0 < 30)
slugoguls/Bloch-Sphere                                                               Not enough stars (0 < 30)
Smee18/Bloch-Sphere-Simulation                                                       Not enough stars (0 < 30)
sndtkrh/qcirs                                                                        Not enough stars (0 < 30)
sneakyweasel/genetic-quantum-correction                                              Not enough stars (8 < 30)
sneakyweasel/quantum-loom                                                            Not enough stars (1 < 30)
Snow17s/spank                                                                        Not enough stars (1 < 30)
SnowflurrySDK/Snowflurry.jl                                                          Not enough contributors (7 < 10)
socathie/Quantum-Error-Correction                                                    Not enough stars (4 < 30)
softwareQinc/qasmtools                                                               Not enough stars (8 < 30)
sorydima/REChain-IDE                                                                 Not enough stars (1 < 30)
spark-engine-opensource-projects/quantum-computing-application-generator             Not enough stars (1 < 30)
spencerhall01/spanning-trees                                                         Not enough stars (1 < 30)
splch/goqu                                                                           Not enough stars (1 < 30)
splch/quantumsimulator                                                               Archived repository
Spooky-Manufacturing/QEDA                                                            Not enough stars (28 < 30)
Spooky-Manufacturing/SpookyIDE                                                       Not enough stars (24 < 30)
srnjak/superposition                                                                 Not enough stars (0 < 30)
stewdio/q.js                                                                         Inactive since 2023-04-03
Strilanc/Hand-Qubits                                                                 Not enough stars (6 < 30)
Strilanc/Quirk                                                                       Inactive since 2024-07-16
suhdonghwi/DeutschAlgorithm                                                          Not enough stars (0 < 30)
suhdonghwi/qubit                                                                     Inactive since 2021-06-05
sujeet-bhalerao/perm-inv-codes                                                       Not enough stars (3 < 30)
suman4132/QuantumDashboard                                                           Not enough stars (2 < 30)
sunsided/quantum-playground-rs                                                       Not enough stars (0 < 30)
superquantum2020/SuperQuantum2020.github.io                                          Not enough stars (1 < 30)
supremacyfuture/VQC                                                                  Inactive since 2020-02-15
suryansh-malik/ai-cloud-devops-roadmap                                               Not enough stars (0 < 30)
SUSYUSTC/stabilizer_gs                                                               Not enough stars (7 < 30)
swampus/plank-db                                                                     Not enough stars (2 < 30)
swcstudiospace/supercompute                                                          Not enough stars (3 < 30)
sylvain-cinema/qontos-engine                                                         Not enough stars (1 < 30)
szczyglis-dev/quantum-random-bit-generator                                           Not enough stars (1 < 30)
sznczy/quantum-particle-swarm-optimization                                           Not enough stars (5 < 30)
t-weber/qm                                                                           Not enough stars (0 < 30)
taiypeo/DeutschSim                                                                   Not enough stars (6 < 30)
taylorlee/heisendebugger                                                             Not enough stars (0 < 30)
tcNickolas/MiscQSharp                                                                Not enough stars (11 < 30)
tearsofphoenix/Q-js                                                                  Not enough stars (1 < 30)
tearsofphoenix/qasm                                                                  Archived repository
Teddy55Codes/BlochSphere                                                             Not enough stars (5 < 30)
Teddy55Codes/superdense-coding-with-teleportation                                    Not enough stars (5 < 30)
ThemeHackers/pqc_labs                                                                Not enough stars (1 < 30)
TheodoreRap/PCM-Lloyd-Max                                                            Not enough stars (2 < 30)
thephoeron/quipper-language                                                          Inactive since 2015-08-31
thepriben/programmez-quantum-rust-2023                                               Not enough stars (0 < 30)
Thoughtscript/x_team_quantum                                                         Archived repository
Tinkidinki/cvenn-codes                                                               Not enough stars (1 < 30)
TNemes-3141/quantos-next                                                             Not enough stars (0 < 30)
toolate28/QDI                                                                        Not enough stars (0 < 30)
torfstack/goco                                                                       Not enough stars (0 < 30)
torinfs/Qubism.jl                                                                    Not enough stars (2 < 30)
TrappedIonsCornell/qiskit-parser                                                     Not enough stars (1 < 30)
TsvetelinKostadinv/Simulation-Q                                                      Archived repository
tud-ccc/hybrid-quantum                                                               Not enough stars (5 < 30)
tushdon2/Qiskit_Hackathon_IITR_2021                                                  Not enough stars (5 < 30)
twohreichel/NeuroQuantumDB                                                           Not enough stars (1 < 30)
TysonRayJones/Distributed-Full-State-Algorithms                                      Not enough stars (17 < 30)
UB-Quantic/dqcsim-iqs                                                                Archived repository
UC-Advanced-Research-Computing/UC-Quantum-Lab                                        Not enough stars (0 < 30)
UCL-CCS/ferrmion                                                                     Not enough stars (8 < 30)
unitaryfoundation/metriq-api                                                         Archived repository
unitaryfoundation/metriq-web                                                         Not enough stars (3 < 30)
unitaryfoundation/unitaryhack2024                                                    Archived repository
USCqserver/OpenQuantumBase.jl                                                        Not enough stars (8 < 30)
USCqserver/OpenQuantumTools.jl                                                       Inactive since 2023-11-16
valvy/miniqubit                                                                      Inactive since 2019-10-14
VarunRathore137/Quantum-Teleportation-Experiment                                     Not enough stars (1 < 30)
vincent-stafford/qrustalpha                                                          Not enough stars (3 < 30)
vivanwin/solve-secret-santa-with-grover                                              Not enough stars (0 < 30)
vm6502q/qrack.net                                                                    Not enough stars (2 < 30)
vm6502q/weed                                                                         Not enough stars (3 < 30)
voya-voja/d5o2                                                                       Not enough stars (0 < 30)
vprusso/qemzoo                                                                       Not enough stars (1 < 30)
vrockai/stacktalk-quantum-computing                                                  Not enough stars (0 < 30)
vursekar/search-by-quantum-walk                                                      Not enough stars (0 < 30)
VyoJ/QiskitFallFest24-PESU                                                           Not enough stars (0 < 30)
waelitani/Quantum-Carleman-Lattice-Boltzmann-Simulation-of-Fluids                    Not enough stars (3 < 30)
wangleiphy/BetaVQE.jl                                                                Inactive since 2024-01-29
wantzjt/tarx-quantum                                                                 Not enough stars (0 < 30)
wasmerio/ate                                                                         Inactive since 2023-07-19
weezy20/qcoin                                                                        Not enough stars (1 < 30)
Wegii/TQC                                                                            Not enough stars (0 < 30)
Wegii/wegii.github.io                                                                Not enough stars (0 < 30)
WeileiZeng/hybrid-viterbi-decoder                                                    Not enough stars (2 < 30)
WeileiZeng/weilei_lib                                                                Not enough stars (1 < 30)
who-else-but-arjun/quantum-path-explorer                                             Not enough stars (0 < 30)
willie82486/FOR-QAOA                                                                 Not enough stars (0 < 30)
willwesley/animated-waffle                                                           Not enough stars (0 < 30)
Winter-Soren/quantum-ml-handbook                                                     Excluded by Keyword 'book' in name/description
WisdomEnigma/quantabits                                                              Not enough stars (1 < 30)
wultra/sike-java                                                                     Archived repository
XaBerr/quantum-monte-carlo-methods                                                   Not enough stars (28 < 30)
XanaduAI/blackbird                                                                   Inactive since 2022-10-18
XanaduAI/jet                                                                         Inactive since 2023-03-14
XanaduAI/torontonian-sampling                                                        Not enough stars (10 < 30)
Xatta-Trone/awesome-qc                                                               Not enough stars (3 < 30)
YagoGG/q-simon                                                                       Archived repository
yahelcohen01/qubit                                                                   Not enough stars (0 < 30)
yazhsab/qbitel-qrap                                                                  Not enough stars (0 < 30)
yoongun/quantum-cellular-automaton                                                   Not enough stars (0 < 30)
yoongun/qubit-rust                                                                   Not enough stars (1 < 30)
yoongun/willard-rust                                                                 Not enough stars (0 < 30)
YoungHaKim7/silq_project                                                             Not enough stars (0 < 30)
ysiraichi/enfield                                                                    Not enough stars (19 < 30)
yuqiaowu/whale-watcher                                                               Not enough stars (8 < 30)
zazabap/LogosQ                                                                       Not enough contributors (1 < 10)
zsc/qubit-fpga                                                                       Not enough stars (14 < 30)

--- Final Considered Projects (Top 38) ---
1. QuantumBFS/Yao.jl
2. NVIDIA/cuda-quantum
3. quantumlib/Stim
4. quantumlib/qsim
5. Qiskit/qiskit-aer
6. softwareQinc/qpp
7. qulacs/qulacs
8. oscarhiggott/PyMatching
9. Quantinuum/tket
10. intel/intel-qs
11. unitaryfoundation/qrack
12. DVLab-NTU/qsyn
13. QuantumSavory/QuantumClifford.jl
14. munich-quantum-toolkit/ddsim
15. PennyLaneAI/pennylane-lightning
16. munich-quantum-toolkit/qmap
17. Jij-Inc/OpenJij
18. open-quantum-safe/liboqs-go
19. munich-quantum-toolkit/core
20. munich-quantum-toolkit/qcec
21. sfc-aqua/quisp
22. iitis/QuantumInformation.jl
23. quantumlib/tesseract-decoder
24. Qiskit/qiskit-code-assistant-vscode
25. qir-alliance/pyqir
26. qojulia/QuantumOpticsBase.jl
27. open-quantum-safe/liboqs-java
28. nicolasloizeau/PauliStrings.jl
29. Quantinuum/hugr
30. QuantumSavory/QuantumSavory.jl
31. Quantinuum/tket2
32. PECOS-packages/PECOS
33. microsoft/qdk-chemistry
34. QuantumSavory/QuantumSymbolics.jl
35. bsc-quantic/Tenet.jl
36. cksystemsgroup/unicorn
37. qiskit-community/qrmi
38. harmoniqs/QuantumCollocation.jl

====================================================
End of Summary
